1520,5,1.37,3.9,1.3,260,220,1.91929272702028
1600,5,1.81,3.5,2.6,480,420,2.97993694535389
1540,75,1.37,3.2,2.4,280,240,2.36210786940772
1520,100,1.37,3.6,1.9,200,280,2.29724448520933
1600,5,2.456,3.9,3,180,280,2.9492447103356
1520,20,1.37,3.9,2,480,680,3.48425345036358
1580,50,1.81,3.3,1.7,400,360,2.4622075516723
1500,10,1.426,4,2.2,160,280,2.16310811297251
1600,5,2.456,4,1.8,480,360,3.35446885639501
1600,5,1.81,2.9,1.3,300,680,1.96848050111117
1500,100,1.81,3.1,1.9,340,320,2.25830767190402
1540,75,1.444,3.8,2.5,480,200,2.95392773166906
1500,10,1.37,3.4,1.8,500,200,2.42521201142147
1500,0,1.426,2.5,1.4,420,600,1.85340449430022
1500,15,1.444,3.3,1.4,440,760,2.779705234494
1520,10,1.444,3.8,2.8,320,720,3.19117201529434
1560,5,1.444,3.7,2.6,360,220,2.75719596496619
1560,0,1.426,3.7,1.5,340,380,2.65067064206417
1560,50,1.426,3.3,1.4,400,280,2.23266004181182
1580,50,1.81,3.5,2.4,240,340,2.45565561611113
1540,0,1.81,3.3,2.1,380,600,2.68817747632214
1540,5,1.81,2.4,1.5,200,360,1.68842118851289
1560,50,1.747,3.7,2.2,380,660,3.10436442942946
1560,20,1.81,2.6,1.7,160,540,1.75902896132543
1500,5,1.37,4,2.4,180,680,2.67735263878227
1540,0,1.37,3.8,2,400,280,2.8768581809668
1520,75,1.37,4,2.7,380,480,3.4092562555876
1560,20,1.426,2.5,1.8,300,160,1.70413927931467
1520,5,1.444,4,2.7,480,700,3.63103777772278
1520,100,1.444,3.7,2.2,220,240,2.4602702870681
1580,50,1.426,2.9,2.2,440,200,2.19149984333892
1560,10,1.747,2.7,1.7,380,700,2.0951756795746
1600,15,1.37,3.4,2.6,500,160,2.62939289201294
1520,0,1.444,2.6,1.3,500,160,1.48706556671134
1520,50,3,3.9,2.4,140,480,2.95396957033974
1560,10,1.37,3.8,1.5,480,460,3.2171200076995
1520,5,1.426,3.9,2.3,260,620,2.89168588014739
1540,20,1.37,3.4,2.1,500,480,2.88558984213815
1560,15,1.444,3.3,1.6,320,360,2.13888703002907
1560,50,3.5,3.7,2.2,280,180,3.40197557303616
1540,50,1.747,3.1,1.9,320,480,2.27226479419907
1560,75,1.426,3.7,2.8,420,220,2.95587091180833
1600,50,1.747,2.8,2,380,480,2.1698934385109
1580,75,1.444,2.8,1.6,460,760,2.25641743371422
1600,50,3,3.9,2,160,600,2.94547404242749
1560,75,1.426,3.5,2.8,200,140,2.71051045622558
1580,10,1.444,3.3,2.1,440,600,2.74337767343794
1500,75,1.444,2.8,1.7,500,760,2.36582338500418
1540,5,1.37,3.2,1.5,180,280,1.45217593921692
1560,10,1.444,2.6,1.5,380,660,1.88060492044539
1540,100,1.81,4,2.1,140,400,2.6957861416265
1540,100,1.444,2.6,1.8,420,400,1.96022076496406
1500,100,1.81,3.1,2.4,480,640,2.72463212992976
1500,10,3,3.2,1.3,400,680,2.92810668225978
1560,20,1.81,3.1,2.1,160,580,2.06459608049085
1560,75,1.747,3.4,2.5,480,540,2.9549422329424
1520,0,1.426,4,3,340,660,3.44567730822508
1500,0,3,3.8,2.8,360,580,3.35751359071882
1580,15,2.456,3.2,2.5,160,140,2.4481835355436
1540,15,2.456,3.7,1.5,260,660,2.76861980242616
1540,20,1.426,2.3,1.3,340,620,1.53857873867899
1500,50,1.747,3.4,1.3,500,460,2.85247954505856
1580,20,1.747,4,2.5,260,300,2.78916430726101
1560,50,1.37,3.9,1.6,280,540,2.74666673340448
1520,0,1.426,3.5,1.6,240,360,1.91535974273936
1580,15,1.426,2.7,1.4,340,460,1.71278644635759
1580,0,3,3.6,1.7,220,260,2.87994338009238
1520,100,1.747,2.8,1.9,280,340,1.9860062138864
1560,10,1.426,3.3,1.6,500,480,2.72001812071091
1540,75,1.444,2.7,1.5,320,440,1.75283263339246
1560,100,1.81,3.3,2,440,480,2.71345124838459
1580,75,1.426,2.9,1.3,260,760,1.76207009768376
1560,10,1.444,3.5,2.4,460,640,3.03815418077223
1540,5,1.37,3.5,1.3,180,200,1.31028437848622
1600,15,1.747,3.6,1.9,320,260,2.35650778506251
1600,20,1.81,3.9,3,480,740,3.53899151191319
1520,15,2.456,3.9,2.2,140,340,2.43990172044076
1520,5,1.426,3.9,2,320,460,3.01174949532156
1600,20,2.456,3.7,1.8,280,500,2.76046658216737
1560,15,3,3.7,2.9,260,700,3.18011960418933
